codigo,nombre,total_2014,total_2015,total_2016,total_2017,total_2018,total_2019,total_2021,total_2022,total_2023
1,Popular,68.26,46.63,58.47,65.27,59.62,61.64,80.76,74.9,68.72
2,Santa Cruz,69.97,44.9,64.51,64.21,52.71,53.94,82.2,74.28,65.97
3,Manrique,58.29,48.6,60.94,62.06,60.55,58.44,76.03,70.07,68.56
4,Aranjuez,57.75,42.73,53.48,49.05,52.6,48.92,72.3,65.97,60.21
5,Castilla,50.62,30.23,51.44,44.77,45.48,41.45,58.33,65.57,58.86
6,Doce de Octubre,56.86,49.89,51.88,50.74,55.15,48.41,61.69,66.95,63.74
7,Robledo,55.12,39.83,47.45,41.94,46.86,39.19,60.62,60.96,56.74
8,Villa Hermosa,63.89,47.14,57.41,51.35,51.0,51.64,80.03,68.43,61.4
9,Buenos Aires,43.86,36.45,44.05,39.02,38.3,41.16,63.67,57.94,56.85
10,La Candelaria,36.86,33.68,34.54,33.64,36.43,42.67,57.73,49.86,40.67
11,Laureles Estadio,15.4,8.43,13.87,19.82,23.96,18.29,26.38,34.46,23.51
12,La América,26.03,22.55,25.32,23.12,40.05,24.62,39.02,39.65,27.67
13,San Javier,59.77,47.78,53.11,45.98,48.37,48.31,71.78,62.87,61.82
14,El Poblado,11.03,8.44,6.34,14.76,12.63,6.94,22.62,15.85,15.52
15,Guayabal,43.29,32.33,42.76,37.99,41.46,36.63,57.94,56.33,53.89
16,Belén,32.84,22.66,34.97,30.93,35.33,30.54,51.61,49.94,40.1
50,San Sebastián de Palmitas,64.04,31.82,55.13,50.02,45.08,31.56,67.65,70.37,73.91
60,San Cristóbal,56.22,49.25,59.95,52.48,50.56,53.96,77.95,70.11,61.33
70,Altavista,63.25,45.99,42.46,47.28,60.72,40.49,69.74,59.48,48.28
80,San Antonio de Prado,54.64,40.78,61.69,49.17,43.69,40.57,59.73,65.78,46.5
90,Santa Elena,52.54,43.87,49.17,41.11,45.68,49.3,65.98,66.0,72.15
