codigo,nombre,total_2014,total_2015,total_2016,total_2017,total_2018,total_2019,total_2021,total_2022,total_2023
1,Popular,0.970987444859179,0.9213699951760732,0.8961664088017878,1.0,0.9771262216677064,1.0,0.97583081570997,1.0,0.9111149169378319
2,Santa Cruz,0.9999999999999999,0.8796430294259525,1.0,0.979014056622451,0.8334373050530255,0.8592321755027421,1.0,0.9895004233700253,0.8640178112690531
3,Manrique,0.8018323719036308,0.9688856729377713,0.9386281588447654,0.936448228073649,0.9964649615304635,0.9414990859232175,0.8964417589795233,0.9182049110922945,0.9083747216989213
4,Aranjuez,0.7926705123854767,0.8273034249879401,0.8103833591198212,0.6788754702039199,0.8311499272197962,0.7674588665447899,0.8338368580060422,0.8487722269263336,0.7653707826682652
5,Castilla,0.671700033932813,0.5258080077182826,0.7753137356025442,0.5941397743021184,0.6830941983780412,0.6308957952468008,0.5993622020812353,0.8419983065198982,0.7422503853399556
6,Doce de Octubre,0.7775704105870377,1.0,0.7828777720474471,0.7123341912492578,0.8841755042628403,0.7581352833638024,0.6557569654246391,0.8653683319220999,0.8258263401267343
7,Robledo,0.7480488632507635,0.7573564881813795,0.7067216778408114,0.5381112650960205,0.7117903930131004,0.589579524680073,0.6377979187646861,0.7639288738357324,0.7059427984243878
8,Villa Hermosa,0.8968442483881914,0.9336710082006752,0.87794395736634,0.7244110077212436,0.7978789769182781,0.8171846435100549,0.9635783820073851,0.8904318374259104,0.785750984757664
9,Buenos Aires,0.5570071258907363,0.6758321273516642,0.6482723053120164,0.48030093050881023,0.5337908088999792,0.6255941499085922,0.6889895938234307,0.7127857747671464,0.707826682651139
10,La Candelaria,0.43824228028503565,0.6090207428847081,0.4847859721505931,0.37378736883785396,0.49490538573508,0.6531992687385741,0.5892917086270559,0.575952582557155,0.43072443911628716
11,Laureles Estadio,0.07414319647098744,0.0,0.12944816915936047,0.10017818253811128,0.2355999168226242,0.20749542961608775,0.06310842564618996,0.3151566469093989,0.13683849974310675
12,La América,0.25449609772650156,0.34056922334780504,0.32628502664603753,0.1655117798455752,0.5701809107922644,0.32321755027422305,0.27526015441423296,0.4030482641828958,0.20808357595478683
13,San Javier,0.8269426535459791,0.9491075735648817,0.8040226921093347,0.6180954266481884,0.7431898523601579,0.7563071297989032,0.8251090970124202,0.7962743437764606,0.7929439972598049
14,El Poblado,0.0,0.00024119633381569638,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Guayabal,0.5473362741771293,0.576459237819585,0.6260959257349149,0.45990892892496543,0.5995009357454772,0.5427787934186472,0.5928163813360188,0.6855207451312446,0.6571330707312897
16,Belén,0.37003732609433326,0.34322238301977803,0.49217809867629364,0.32013462680657295,0.47203160740278644,0.4314442413162705,0.48657267539442767,0.5773073666384421,0.4209624935776675
50,San Sebastián de Palmitas,0.8993892093654564,0.564158224794983,0.838748495788207,0.6980795882003565,0.6747764608026616,0.4500914076782449,0.7557905337361532,0.9232853513971211,1.0
60,San Cristóbal,0.7667119104173735,0.9845634346357934,0.9216090768437339,0.7467828152841023,0.7887294655853607,0.8595978062157221,0.9286673380328969,0.9188823031329381,0.7845521493406407
70,Altavista,0.8859857482185273,0.9059334298118669,0.6209386281588448,0.6438329043753712,1.0,0.6133455210237659,0.7908694192682106,0.738865368331922,0.5610549751669807
80,San Antonio de Prado,0.7399049881235155,0.7802701398938735,0.9515214027849406,0.6812512373787369,0.6458723227282179,0.6148080438756856,0.6228600201409868,0.8455546147332769,0.5305703031340983
90,Santa Elena,0.7042755344418052,0.8547998070429328,0.7362901839436136,0.521678875470204,0.6872530671657309,0.7744058500914077,0.7277609936220208,0.8492802709568161,0.9698578523719816
