OBJECTID,Shape,codigo,nombre,total_2014,total_2015,total_2016,total_2017,total_2018,total_2019,total_2020,total_2021,total_2022,total_2023,leve_2014,leve_2015,leve_2016,leve_2017,leve_2018,leve_2019,leve_2020,leve_2021,leve_2022,leve_2023,moderada_2014,moderada_2015,moderada_2016,moderada_2017,moderada_2018,moderada_2019,moderada_2020,moderada_2021,moderada_2022,moderada_2023,severa_2014,severa_2015,severa_2016,severa_2017,severa_2018,severa_2019,severa_2020,severa_2021,severa_2022,severa_2023,Shape_Length,Shape_Area
1,"(4718611.922461629, 2254112.982707406)",01,Popular,68.26,46.63,58.47,65.27,59.62,61.64,,80.76,74.9,68.72,43.32,27.89,40.86,37.45,29.6,33.12,,37.88,27.29,35.83,17.36,12.29,15.09,18.41,21.56,20.34,,20.64,28.29,20.32,7.44,6.45,2.52,9.42,8.46,8.18,,22.24,19.32,12.57,9604.448561523164,3097940.950849382
2,"(4717471.901360827, 2254648.3111255593)",02,Santa Cruz,69.97,44.9,64.51,64.21,52.71,53.94,,82.2,74.28,65.97,46.4,25.6,47.41,43.16,32.82,30.48,,43.46,30.18,35.76,17.06,12.43,15.8,13.17,13.95,15.13,,18.59,28.61,19.1,6.15,6.86,1.3,7.89,5.94,8.33,,20.16,15.49,11.11,8597.294373605435,2195662.601386407
3,"(4718479.607630689, 2251852.4937053234)",03,Manrique,58.29,48.6,60.94,62.06,60.55,58.44,,76.03,70.07,68.56,38.38,32.98,43.46,35.65,35.19,38.42,,39.34,28.78,36.24,14.87,10.96,17.15,15.35,16.03,15.1,,18.51,25.66,23.36,4.57,4.66,0.33,11.06,9.33,4.92,,18.18,15.63,8.95,12077.5591324662,5096182.230156728
4,"(4716680.291627194, 2252195.0294205956)",04,Aranjuez,57.75,42.73,53.48,49.05,52.6,48.92,,72.3,65.97,60.21,39.36,28.29,38.52,31.81,35.07,31.89,,41.18,36.11,33.59,12.22,10.12,10.54,12.45,13.1,12.58,,16.13,17.39,15.76,5.65,4.32,4.42,4.8,4.43,4.45,,14.99,12.48,10.85,9642.676543479753,4883314.087520373
5,"(4715903.412076725, 2253981.9996353034)",05,Castilla,50.62,30.23,51.44,44.77,45.48,41.45,,58.33,65.57,58.86,40.71,21.22,39.82,30.1,30.92,28.1,,35.65,37.47,36.39,8.01,6.21,10.52,8.1,9.71,9.28,,12.96,18.5,13.61,1.32,2.8,1.1,6.58,4.85,4.08,,9.72,9.6,8.86,16098.03210800692,6063915.514971976
6,"(4714743.451115304, 2254761.3938639592)",06,Doce de Octubre,56.86,49.89,51.88,50.74,55.15,48.41,,61.69,66.95,63.74,39.49,37.5,38.42,30.25,36.17,31.77,,38.98,43.32,31.41,13.96,9.34,11.49,12.73,13.58,12.61,,10.17,15.75,15.7,3.97,3.04,1.97,7.76,5.4,4.03,,12.54,7.88,16.63,10709.846407300312,3849812.0727601973
7,"(4713275.71134015, 2252410.4420975056)",07,Robledo,55.12,39.83,47.45,41.94,46.86,39.19,,60.62,60.96,56.74,40.44,30.98,34.72,25.67,30.41,24.99,,34.18,38.9,33.33,9.02,6.23,9.1,10.44,11.92,10.0,,12.1,12.36,13.86,3.74,2.61,3.64,5.83,4.52,4.19,,14.35,9.69,9.55,23265.233431348748,9462007.704047674
8,"(4718584.283001129, 2249006.5964515195)",08,Villa Hermosa,63.89,47.14,57.41,51.35,51.0,51.64,,80.03,68.43,61.4,43.78,32.63,41.25,30.14,31.88,32.11,,42.6,36.03,34.87,14.94,9.2,12.46,12.96,13.25,13.8,,17.3,17.69,16.67,4.82,5.31,3.7,8.25,5.87,5.72,,20.13,14.71,9.87,16392.858844819497,5716967.861815598
9,"(4717615.2868070705, 2247244.7482453715)",09,Buenos Aires,43.86,36.45,44.05,39.02,38.3,41.16,,63.67,57.94,56.85,33.26,27.78,35.19,25.9,26.54,27.73,,40.41,30.24,34.16,6.3,6.41,7.69,7.57,8.29,8.83,,11.71,16.72,13.26,2.63,2.26,1.17,5.55,3.48,4.59,,11.54,10.98,9.44,18364.90299510415,6052668.286001971
10,"(4715944.532195215, 2249048.1243153503)",10,La Candelaria,36.86,33.68,34.54,33.64,36.43,42.67,,57.73,49.86,40.67,29.01,29.54,26.24,21.68,25.21,27.43,,32.87,25.76,23.13,6.05,4.14,6.69,6.95,6.74,11.35,,6.35,13.3,9.7,0.52,0.0,1.62,5.0,4.48,3.88,,18.51,10.8,7.84,13632.701394923215,7360811.029417884
11,"(4713343.505881916, 2249368.142262306)",11,Laureles Estadio,15.4,8.43,13.87,19.82,23.96,18.29,,26.38,34.46,23.51,12.91,7.6,12.57,16.81,19.55,13.41,,20.62,26.75,20.53,0.9,0.41,1.3,1.51,3.27,2.51,,2.4,4.58,1.99,0.22,0.41,0.0,1.51,1.15,2.37,,3.36,3.13,0.99,16365.175496146,7402669.301326557
12,"(4711800.387879477, 2249823.2178688487)",12,La América,26.03,22.55,25.32,23.12,40.05,24.62,,39.02,39.65,27.67,23.62,19.19,22.4,17.61,29.25,19.17,,25.14,30.32,20.95,2.74,3.04,2.42,4.07,8.77,3.97,,8.09,5.54,4.74,0.0,0.32,0.49,1.44,2.02,1.48,,5.78,3.79,1.98,15425.495027124889,3973306.9584038733
13,"(4710446.833375132, 2250061.46529047)",13,San Javier,59.77,47.78,53.11,45.98,48.37,48.31,,71.78,62.87,61.82,40.48,40.18,38.36,30.38,28.12,27.76,,36.87,34.85,33.19,15.41,7.6,12.23,10.18,11.52,14.03,,15.33,16.12,15.84,4.76,0.0,2.51,5.42,8.72,6.51,,19.58,11.89,12.8,26384.22054676626,4849278.874958561
14,"(4716105.141389329, 2243895.5048197634)",14,El Poblado,11.03,8.44,6.34,14.76,12.63,6.94,,22.62,15.85,15.52,10.62,8.19,6.16,13.85,11.52,6.22,,18.18,14.06,13.43,0.65,0.26,0.18,0.55,0.74,0.36,,2.0,0.67,1.79,0.0,0.0,0.0,0.36,0.37,0.35,,2.44,1.12,0.3,19965.687059117798,14414322.82772217
15,"(4713893.91312301, 2245262.804141909)",15,Guayabal,43.29,32.33,42.76,37.99,41.46,36.63,,57.94,56.33,53.89,32.54,28.25,37.37,29.33,32.53,27.46,,35.19,38.43,37.13,6.73,4.07,4.07,6.69,6.19,6.77,,8.58,8.3,7.19,1.55,0.0,1.33,1.97,2.74,2.39,,14.16,9.61,9.58,13279.243204644288,7288420.726785111
16,"(4712464.646424875, 2246614.0744316597)",16,Belén,32.84,22.66,34.97,30.93,35.33,30.54,,51.61,49.94,40.1,25.37,19.01,28.42,23.23,25.74,22.7,,28.83,34.75,29.51,5.49,3.01,5.14,4.79,6.06,5.04,,8.62,10.04,6.42,0.79,0.64,1.4,2.92,3.52,2.8,,14.16,5.15,4.17,25695.016634207837,8856232.001394011
17,"(4702567.6733262185, 2257955.7318096347)",50,San Sebastián de Palmitas,64.04,31.82,55.13,50.02,45.08,31.56,,67.65,70.37,73.91,48.37,27.28,55.13,47.56,45.08,25.6,,47.06,44.44,56.52,12.51,4.54,0.0,2.46,0.0,5.95,,5.88,14.81,13.04,1.95,0.0,0.0,0.0,0.0,0.0,,14.71,11.11,4.35,38399.21195236707,57799202.50778169
18,"(4708034.050193128, 2253812.2220230075)",60,San Cristóbal,56.22,49.25,59.95,52.48,50.56,53.96,,77.95,70.11,61.33,39.76,39.83,38.89,35.53,30.7,39.34,,38.31,38.92,35.64,14.92,9.42,12.92,12.7,13.98,8.47,,15.81,18.06,14.36,3.32,0.0,8.14,4.25,5.88,6.15,,23.83,13.12,11.33,51162.61742571545,54112792.242404774
19,"(4708517.330020405, 2246822.6598185324)",70,Altavista,63.25,45.99,42.46,47.28,60.72,40.49,,69.74,59.48,48.28,44.07,36.64,23.1,33.86,36.86,21.64,,33.55,28.1,33.62,15.99,8.7,14.75,5.12,15.96,14.75,,15.13,16.99,6.9,2.39,0.66,4.6,8.3,7.89,4.11,,21.05,14.38,7.76,35012.58288575261,28725783.28352506
20,"(4704270.352085299, 2245613.063627898)",80,San Antonio de Prado,54.64,40.78,61.69,49.17,43.69,40.57,,59.73,65.78,46.5,44.35,33.4,51.11,30.44,33.7,27.19,,38.9,34.76,22.38,9.01,4.3,9.71,12.49,5.83,7.94,,13.15,18.18,14.34,2.31,3.07,0.87,6.23,4.16,5.44,,7.67,12.83,9.79,40472.28393637327,60567771.68704203
21,"(4721626.544324636, 2247611.5894908938)",90,Santa Elena,52.54,43.87,49.17,41.11,45.68,49.3,,65.98,66.0,72.15,39.64,35.1,27.16,24.75,30.48,34.61,,40.21,38.0,44.3,9.39,5.82,17.07,6.82,9.69,10.57,,12.37,18.0,11.39,3.49,2.95,4.94,9.54,5.5,4.12,,13.4,10.0,16.46,66527.05396435653,74114152.89082207
