codigo,i_2018_ponderado,total_2018_ponderado,isce_total_2018_ponderado,promedio_suscriptores_normalizados_ponderado,areas_publ_normalizados_ponderado,salario_normalizado_ponderado
1,0.25000000000000006,0.19542524433354128,,0.04673885580458424,,
2,0.22487057808455568,0.1666874610106051,,0.038978793430669796,,
3,0.231665228645384,0.19929299230609274,,0.04892747375144729,,
4,0.1286669542709232,0.16622998544395926,,0.06259887751528002,,
5,0.10094909404659187,0.13661883967560826,,0.057545377195228314,,
6,0.16188524590163936,0.17683510085256807,,0.07489070785226723,,
7,0.12564710957722175,0.1423580786026201,,0.0796300523449035,,
8,0.15228645383951683,0.15957579538365563,,0.06771566245732098,,
9,0.029982743744607424,0.10675816177999585,,0.05732359147391221,,
10,0.0734469370146678,0.098981077147016,,0.049797172065760696,0.029865064222306722,
11,0.0077653149266609,0.047119983364524845,,0.061526258014565675,0.029351878067825535,
12,0.03203192407247625,0.11403618215845289,,0.051509939578408805,0.01102450104635415,
13,0.12100949094046592,0.1486379704720316,,0.06344444307709445,0.022878900366346933,
14,0.0,0.0,,0.08065055096605793,0.0262494310921523,
15,0.03699309749784295,0.11990018714909545,,0.027181651266618086,0.017528625693321958,
16,0.02965918895599655,0.09440632148055728,,0.1,0.042792867788529254,
50,0.17439603106125973,0.13495529216053234,,0.0,2.648269852759e-05,
60,0.18539689387402936,0.15774589311707216,,0.04545837465974467,0.02552295658676808,
70,0.2056729939603106,0.2,,0.014163778753760028,0.0037043248851226004,
80,0.04465056082830025,0.1291744645456436,,0.04778257195099275,0.02342480896487767,
90,0.2285375323554789,0.13745061343314618,,0.0023392147624186565,0.07002065704470768,
1.0,,,0.0392249794949529,,,0.0037549788790435506
2.0,,,0.03160672133935578,,,0.00612083835045419
3.0,,,0.04877681513192661,,,0.00253977932945119
4.0,,,0.10608438976259453,,,0.00114827561386846
5.0,,,0.11260737161679488,,,0.0062780687746357205
6.0,,,0.051212300105133085,,,0.008403585958837381
7.0,,,0.09938774258500475,,,0.007933089215988806
8.0,,,0.0,,,0.002551028799533275
9.0,,,0.12911279649147595,,,0.008345609366601451
10.0,,,0.1506740249878927,,,0.00860937449366926
11.0,,,0.28849435671963397,,,0.02917495764168873
12.0,,,0.1642831893057848,,,0.019635392625197354
13.0,,,0.07789100121084329,,,0.002809153681017595
14.0,,,0.3,,,0.05
15.0,,,0.1662417331804431,,,0.015522358558304332
16.0,,,0.1630433146220154,,,0.01705013609953537
01,,,,,0.00701301453806721,
02,,,,,0.00491739762959851,
03,,,,,0.00756304973090402,
04,,,,,0.02213373526982525,
05,,,,,0.03761152236795627,
06,,,,,0.02078826996590902,
07,,,,,0.10000000000000003,
08,,,,,0.023542394041345463,
09,,,,,0.030859309581605484,
50.0,,,,,,0.003191791209868235
60.0,,,,,,0.0
70.0,,,,,,0.010518606352842906
80.0,,,,,,0.005660668515330005
90.0,,,,,,0.00117364752594159
