comuna,salario,salario_normalizado
1.0,1079045.7873754152,0.07509957758087105
2.0,1169325.1666666667,0.12241676700908388
3.0,1032674.706430868,0.05079558658902383
4.0,979575.994,0.022965512277369204
5.0,1175324.9588235293,0.1255613754927144
6.0,1256433.0611353712,0.16807171917674768
7.0,1238479.267,0.15866178431977618
8.0,1033103.9775641026,0.05102057599066556
9.0,1254220.7189300412,0.16691218733202906
10.0,1264285.793478261,0.17218748987338528
11.0,2049052.6419753083,0.5834991528337746
12.0,1685030.172,0.392707852503947
13.0,1042953.8246753248,0.05618307362035191
14.0,2843720.2545454544,1.0
15.0,1528079.952830189,0.31044717116608667
16.0,1586378.7697228144,0.34100272199070747
50.0,1057554.9787234042,0.06383582419736478
60.0,935758.6790123456,0.0
70.0,1337140.614,0.21037212705685815
80.0,1151765.4393939397,0.11321337030660017
90.0,980544.1666666666,0.023472950518831803
,,
